original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
2499938-1,30887101,HPS Areenat Oy,Pakilantie 86a,670,HELSINKI,Helsinki,HPS AREENAT Oy,19.04.2025,,60.2470547,24.9230653,"Pakilantie 86a, 00675 Helsinki, Suomi",Pakilantie,86a,Pakilantie,00675,Pakila,,Pohjoinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3277808-7,1074473,Ravintola Sunsari,Hietasaarenkatu 18,65100,VAASA,Vaasa,Ravintola Sunsari Oy,08.07.2022,,63.0980094,21.6154183,"K.achi Sushi & Noodle bar, Hietasaarenkatu 18, 65100 Vaasa, Suomi",K.achi Sushi & Noodle bar,18,Hietasaarenkatu,65100,Keskusta 4,,Vaasa,Vaasa,Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3277277-7,1075451,C sushi ravintola,Opiskelijankatu 1,33720,TAMPERE,Tampere,Yammy Oy,26.09.2022,,61.4530218,23.8464197,"Pub Seppä, Opiskelijankatu 1, 33720 Tampere, Suomi",Pub Seppä,1,Opiskelijankatu,33720,Hervanta,,Kaakkoinen suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0712857-6,1472575,Go Go Liikuntakeskus,Hämeenpuisto 47,33200,TAMPERE,Tampere,Go Go Liikuntakeskus Oy,01.03.2018,,61.4931524,23.7541354,"Scandic Hämeenpuisto, Hämeenpuisto 47, 33200 Tampere, Suomi",Scandic Hämeenpuisto,47,Hämeenpuisto,33200,Nalkala,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2528548-7,30064970,Kotipizza Kaukajärvi,Keskisenkatu 5,33710,TAMPERE,Tampere,Sakari Nieminen Oy,15.08.2019,,61.4734796,23.8740503,"Pub Goljat, Keskisenkatu 5, 33710 Tampere, Suomi",Pub Goljat,5,Keskisenkatu,33710,Kaukajärvi,,Kaakkoinen suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2015890-5,1044471,Pollin Piha,Lahdenperäntie 142,23310,TAIVASSALO,Taivassalo,Maatilayritys Lahdenperä,09.06.2015,,60.6082522,21.6653073,"Pollin Piha, Lahdenperäntie 142, 23310 Taivassalo, Suomi",Pollin Piha,142,Lahdenperäntie,23310,,,,Taivassalo,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0693192-2,1472956,Rämsöön Seurantalo,Halisevantie 22,37350,VESILAHTI,Vesilahti,Rämsöön Urheilijat ry,01.03.2018,,61.3394335,23.3095483,"Halisevantie 22, 37350 Vesilahti, Suomi",Halisevantie,22,Halisevantie,37350,,Pirkanmaa,,Vesilahti,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2734934-1,30883809,Cafe Teutori,"Lemminkäisenkatu 3 ",20520,TURKU,Turku,Impivaaran Tähdet Oy,20.02.2024,,60.4496215,22.2917045,"Herkutus, Lemminkäisenkatu 3, 20520 Turku, Suomi",Herkutus,3,Lemminkäisenkatu,20520,Keskusta,,Ylioppilastalot,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0986855-1,1043007,Kuopio lentoas kahvila-ravintola,Lentokentäntie 275,70900,TOIVALA,Siilinjärvi,Kanresta Oy,15.12.2012,,63.0086562,27.7890088,"Lentokentäntie 275, 70900 Siilinjärvi, Suomi",,275,Lentokentäntie,70900,,,,Siilinjärvi,Pohjois-Savo,Suomi,fi,0.855,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3497044-3,30886807,Beats Nightclub Pieksämäki,Keskuskatu 16,76100,PIEKSÄMÄKI,Pieksämäki,Saimaa Restaurants Oy,17.03.2025,,62.3005112,27.159276,"Beats Club, Keskuskatu 16, 76100 Pieksämäki, Suomi",Beats Club,16,Keskuskatu,76100,Pappilanmäki,,Kaakinmäki,Pieksämäki,Etelä-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2695149-6,30886891,Ravintolalaiva Paatti,"Kampusranta, Kalevankatu 56",60100,SEINÄJOKI,Seinäjoki,RV-Invest Oy,01.05.2025,,62.78869733289972,22.829111753434514,"Kalevankatu 56, 60100 Seinäjoki, Suomi",Kalevankatu,56,Kalevankatu,60100,Marttila,,Kantakaupunki,Seinäjoki,Etelä-Pohjanmaa,Suomi,fi,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2311101-0,1034403,Oliver's Inn,Handelsesplanaden  8,65100,VAASA,Vaasa,Lytek Oy Ab,19.03.2010,,63.097566,21.613425,"Kauppapuistikko, Handelsesplanaden 8, 65100 Vaasa, Suomi",Kauppapuistikko,8,Handelsesplanaden,65100,Keskusta 4,Pohjanmaa,Vaasa,Vaasa,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2331314-9,1035576,Kyläravintola 261,Jämijärventie 28 D 1,38800,JÄMIJÄRVI,Jämijärvi,Kyläravintola 261,16.07.2011,,61.83435512488889,22.64177204811468,"Jämijärventie, 38800 Jämijärvi, Suomi",Jämijärventie,,Jämijärventie,38800,,,,Jämijärvi,Satakunta,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2005451-6,1036297,Ravintola Villihanhi,Puustellinpolku 8,410,HELSINKI,Helsinki,Taste Creator Oy,01.11.2010,,60.2464887,24.8612058,"Puustellinpolku 8, 00410 Helsinki, Suomi",,8,Puustellinpolku,00410,Malminkartano,,Läntinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2952920-7,1063896,Linna Burger & Coffee,Linnankatu 81,20100,TURKU,Turku,Linnan ruokakioski Oy,01.06.2020,,60.43740467795474,22.235470972111855,"Linnankatu, 20100 Turku, Suomi",Linnankatu,,Linnankatu,20100,Keskusta,,Linnanfältti,Turku,Varsinais-Suomi,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
