original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
2676049-7,30071363,Merrycamping,Palosaarentie 67,29900,MERIKARVIA,Merikarvia,The Merry Monk Reposaari Oy,01.06.2021,,61.8488,21.4704242,"Merrry Camping shop & deli, Palosaarentie 67, 29900 Merikarvia, Suomi",Merrry Camping shop & deli,67,Palosaarentie,29900,,,Krookka,Merikarvia,Satakunta,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3169483-4,30887705,Bar Lato,Ilmarinjärventie 252,33450,SIIVIKKALA,Ylöjärvi,Hanmax Oy,29.05.2025,28.05.2026,61.5502772,23.656114847258973,"K-Market, Ilmarinjärventie 252, 33450 Ylöjärvi, Suomi",K-Market,252,Ilmarinjärventie,33450,Siivikkala,,,Ylöjärvi,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1536555-5,1009726,Kärrynpyörä baari,Pennalantie 107,16320,PENNALA,Orimattila,Kioski Myötätuuli Pennala Ky,01.03.2018,,60.8923983,25.7037889,"Myötätuuli, Pennalantie 107, 16320 Orimattila, Suomi",Myötätuuli,107,Pennalantie,16320,Pennala,,,Orimattila,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0869447-3,1034201,Martinselkosen Eräkeskus,Pirttivaarantie 131,89920,RUHTINANSALMI,Suomussalmi,Martinselkosen Matkailu Oy,01.03.2018,,65.43000812586207,29.548006310344828,"89920 Suomussalmi, Suomi",,,,89920,,,,Suomussalmi,Kainuu,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2942083-4,1064606,Pizzeria Don Papa,Satamatie 3,53900,LAPPEENRANTA,Lappeenranta,Don Papa Oy,15.04.2019,,61.06371755,28.18606354708833,"Lappeenrannan matkustajasatama, Satamatie 3, 53900 Lappeenranta, Suomi",Lappeenrannan matkustajasatama,3,Satamatie,53900,Rapasaari,,,Lappeenranta,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1603876-7,1048327,Bar Kuka,Linnankatu 17,20100,TURKU,Turku,Eneros Turku Oy,01.09.2014,,60.4487949,22.2652195,"Bar Kuka, Linnankatu 17, 20100 Turku, Suomi",Bar Kuka,17,Linnankatu,20100,Keskusta,,Puolalanmäki,Turku,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3413208-7,30884116,Laivaravintola Svarte Rudolf,Itäinen Rantakatu 13,20100,TURKU,Turku,AV Lines Oy,04.04.2024,,60.4478013,22.2678301,"Itäinen Rantakatu 13, 20100 Turku, Suomi",,13,Itäinen Rantakatu,20100,III,,Kaskenmäki,Turku,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2932156-1,30062738,Dos Tecolotes,Hämeentie 6 LT 4,530,HELSINKI,Helsinki,Dos Tecolotes Oy,23.11.2020,,60.1808161,24.9520308,"Dos Tecolotes, Hämeentie 6, 00530 Helsinki, Suomi",Dos Tecolotes,6,Hämeentie,00530,Kallio,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1457522-7,1057024,Restaurang Crazy Cat,Salutorget 1,64100,KRISTIINANKAUPUNKI,Kristiinankaupunki,Nopporex Oy,28.04.2017,,62.274238,21.378927,"Salutorget 1, 64100 Kristiinankaupunki, Suomi",,1,Salutorget,64100,,Pohjanmaa,Kristiinankaupunki,Kristiinankaupunki,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3408655-1,30883563,The Murju - Bistro & Bar,Koskentori 3,2880,VEIKKOLA,Kirkkonummi,Murju Oy,01.01.2024,,61.7949465,21.4851834,"Veikkola (Merikarvia), Satakunta, Suomi",,,,,,,,Merikarvia,Satakunta,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2038041-8,30886183,Chipper´s Pub,Strandvägen 1,25900,TAALINTEHDAS,Kemiönsaari,Chipper's Pub Ab,20.11.2024,,60.019315,22.510386,"Marina, Strandvägen 1, 25900 Taalintehdas, Suomi",Marina,1,Strandvägen,25900,Byholmen,Varsinais-Suomi,Kemiönsaari,Taalintehdas,Lounais-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2777082-2,30889464,Ravintola Bianco,Otavalankatu 9,33100,TAMPERE,Tampere,BIG DADDY - RAVINTOLA,01.02.2026,,61.4966738,23.7715198,"Zarillo, Otavalankatu 9, 33100 Tampere, Suomi",Zarillo,9,Otavalankatu,33100,Kyttälä,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1544280-5,1073741,Paatelan Portti,Äänekoskentie 840,44200,SUOLAHTI,Äänekoski,Novocora Oy,12.05.2000,,62.5695633,25.7833174,"Äänekoskentie 840, 44200 Suolahti, Suomi",Äänekoskentie,840,Äänekoskentie,44200,,,,Suolahti,Keski-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0186121-6,1881018,Huttukylän Nuorisoseurantalo,Lehmiläntie 25,90900,KIIMINKI,Oulu,Kiimingin Huttukylän Nuorisoseura ry,01.03.2018,,65.0777106,25.8518878,"Lehmiläntie 25, 90900 Oulu, Suomi",Lehmiläntie,25,Lehmiläntie,90900,Huttukylä,,,Oulu,Pohjois-Pohjanmaa,Suomi,fi,0.675,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0240138-5,30477037,Luhalahden Autohuollon Kahvio,Luhalahdentie 2325,39410,LUHALAHTI,Ikaalinen,Luhalahden Autohuolto om. Hannu Seppä ja kumpp,08.05.2018,,61.7751804,23.2761196,"Luhalahdentie 2325 P, Luhalahdentie 2325, 39410 Ikaalinen, Suomi",Luhalahdentie 2325 P,2325,Luhalahdentie,39410,,,,Ikaalinen,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3273222-2,1075352,Kahvila Raatihuone,Raatihuoneentori 1,49400,HAMINA,Hamina,Cafe Crisp n' Sweet Oy,03.09.2022,,60.56966,27.198045,"Raatihuoneentori 1, 49400 Hamina, Suomi",Raatihuone,1,Raatihuoneentori,49400,Meltti,Kymenlaakso,Hamina,Hamina,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2651791-3,1059724,Taproom OlutMylly Forssa,Yrittäjänkaari 17,30420,FORSSA,Forssa,OlutMylly Oy,13.03.2018,,60.80602815,23.607926683628865,"Yrittäjänkaari 17, 30420 Forssa, Suomi",,17,Yrittäjänkaari,30420,Pikku-Muolaa,,,Forssa,Kanta-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2303186-2,1042365,Rauhalahti Bowling,Kartanonkatu 11,70700,KUOPIO,Kuopio,Keilailu- ja Viihdekeskus Rauhalahti Oy,14.10.2012,,62.8650866,27.6348952,"Kartanonkatu 11, 70700 Kuopio, Suomi",Kartanonkatu,11,Kartanonkatu,70700,Särkilahti,,,Kuopio,Pohjois-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2223346-2,30030337,Rastigaisa,Utsjoentie 4,99980,UTSJOKI,Utsjoki,JPF Palvelut Oy,26.04.2018,,69.9069847,27.0242875,"Pub Rastigaisa, Utsjoentie 4, 99980 Utsjoki, Suomi",Pub Rastigaisa,4,Utsjoentie,99980,,,,Utsjoki,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3088401-1,1068482,Konnichiwa,Karhumäenkatu 6,55120,IMATRA,Imatra,Hui Hong Oy,01.06.2020,,61.1892759,28.762114776237517,"Car wash, Karhumäenkatu 6, 55120 Imatra, Suomi",Car wash,6,Karhumäenkatu,55120,Paajala,,Mansikkala,Imatra,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1960784-9,30019407,Olutravintola Sillansuu,Verkkosaarenkatu 1,57100,SAVONLINNA,Savonlinna,Olutravintola Sillansuu Oy,30.03.2018,,61.8695161,28.8831402,"Olutravintola Sillansuu, Verkkosaarenkatu 1, 57100 Savonlinna, Suomi",Olutravintola Sillansuu,1,Verkkosaarenkatu,57100,Savola,,Savonlinna,Savonlinna,Etelä-Savo,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0907956-0,1006868,Jalasjoen Nuorisoseura,Murronharjuntie,31950,SADONMAA,Punkalaidun,"Jalasjoen Nuorisoseura ry ",01.03.2018,,61.0043702,23.0144776,"Sadonmaa (Loimaa), Varsinais-Suomi, Suomi",,,,,,,,Loimaa,Varsinais-Suomi,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3459326-2,30888496,Galaxy time,Kalevantie 30,20520,TURKU,Turku,Itäharjun Ravintola Oy,14.08.2025,,60.449296000000004,22.317222830994048,"Kalevantie 30, 20520 Turku, Suomi",,30,Kalevantie,20520,Itäharju,,Nummi-Halinen,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1447914-7,1059795,Scandic Kaisaniemi,Kaisaniemenkatu 7,100,HELSINKI,Helsinki,Scandic Hotels Oy,20.03.2018,,60.1717388,24.947974,"Scandic Kaisaniemi, Kaisaniemenkatu 7, 00100 Helsinki, Suomi",Scandic Kaisaniemi,7,Kaisaniemenkatu,00100,Kluuvi,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1617185-9,30883777,VIP Kino Juhani ja Kino Juha,Pratikankuja 3,1900,NURMIJÄRVI,Nurmijärvi,Monimediatalo Mediagents Oy,12.02.2024,,60.4629928,24.8046954,"Säästöpankki, Pratikankuja 3, 01900 Nurmijärvi, Suomi",Säästöpankki,3,Pratikankuja,01900,Krannila,,,Nurmijärvi,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2249795-1,1035015,Kulturhuset Karelia,Skillnadsgatan 11,10600,TAMMISAARI,Raasepori,Föreningen Kulturhuset Karelia i Ekenäs rf,01.03.2018,,59.975983,23.438451,"Skillnadsgatan 11, 10600 Tammisaari, Suomi",,11,Skillnadsgatan,10600,,Uusimaa,Raasepori,Tammisaari,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2154411-1,30883080,"Pizzeria 450°/Gelateria Nuvole ",Eerikinkatu 15,20100,TURKU,Turku,Nuvole Oy,02.10.2023,,60.4502711,22.264946014965545,"Antintalo, Eerikinkatu 15, 20100 Turku, Suomi",Antintalo,15,Eerikinkatu,20100,Keskusta,,Puolalanmäki,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2362621-7,30889341,Ihkun Kisabaari,Kauppatori,90100,OULU,Oulu,Tunturiviihde Oy,06.02.2026,08.02.2026,65.01386895,25.46486816582525,"Oulun kauppatori, Kaarlenväylä, 90100 Oulu, Suomi",Oulun kauppatori,,Kaarlenväylä,90100,I Pokkinen,,Ydinkeskusta,Oulu,Pohjois-Pohjanmaa,Suomi,fi,0.45,1,0.9,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3298685-5,30888635,Hamptown Burger(Hamptown Bar & kitchen),"Raatihuoneenkatu 25 ",13100,HÄMEENLINNA,Hämeenlinna,Linnan Burger Oy,13.09.2025,,60.9952919,24.4618284,"Popino, Raatihuoneenkatu 25, 13100 Hämeenlinna, Suomi",Popino,25,Raatihuoneenkatu,13100,Keskusta,,Hämeenlinna,Hämeenlinna,Kanta-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2402266-9,1044942,Ravintola Salpimienta,Fleminginkatu 7 B,530,HELSINKI,Helsinki,Salpimienta Oy,02.07.2013,,60.1848693,24.9534525,"Fleminginkatu 7, 00530 Helsinki, Suomi",Fleminginkatu,7,Fleminginkatu,00530,Kallio,Uusimaa,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0597511-4,1057577,Konditoria-Café St. Honoré,Laurinkatu 49 B,8100,LOHJA,Lohja,Konditoria St. Honore Oy,01.03.2018,,60.249431,24.064042,"Konditoria St. Honore, Laurinkatu 49 B, 08100 Lohja, Suomi",Konditoria St. Honore,49 B,Laurinkatu,08100,Ahtsalmi,Uusimaa,Lohja,Lohja,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0997436-2,1011517,Ylöjärven keilahalli,Koulutie 6,33470,YLÖJÄRVI,Ylöjärvi,Art Pin Oy,01.03.2014,,61.5519342,23.592035042366128,"Ylöjärven pienoisgolf, Koulutie 6, 33470 Ylöjärvi, Suomi",Ylöjärven pienoisgolf,6,Koulutie,33470,Urkonmäki,,,Ylöjärvi,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0162170-6,1064734,Pub Vahti,Koskenparras 5,55100,IMATRA,Imatra,Etelä-Karjalan Osuuskauppa,25.05.1971,,61.1716419,28.7698582,"Intersport, Koskenparras 5, 55100 Imatra, Suomi",Intersport,5,Koskenparras,55100,Imatrankoski,,Imatrankoski,Imatra,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2330775-0,1034882,Ravintolalaiva Barco,Eteläranta,28100,PORI,Pori,Bar&co Pori Oy,20.05.2010,,61.49046268539313,21.79282694606307,"Eteläranta, 28100 Pori, Suomi",Eteläranta,,Eteläranta,28100,Teljä,,,Pori,Satakunta,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3501730-4,30886729,Kurk Golf,Kuperkeikantie 20,2550,EVITSKOG,Kirkkonummi,Golf Range Operator Finland Oy,01.03.2025,,60.181069,24.388182,"Kuperkeikantie 20, 02550 Kirkkonummi, Suomi",,20,Kuperkeikantie,02550,,Uusimaa,,Kirkkonummi,Etelä-Suomi,Suomi,fi,0.855,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3528844-6,30888774,Diivas Juurileipä Oy,Kauppaneuvoksenkatu 2,35800,MÄNTTÄ,Mänttä-Vilppula,Diivas juurileipä Oy,01.10.2025,,62.0282957,24.624651,"Kauppaneuvoksenkatu 2, 35800 Mänttä-Vilppula, Suomi",Kauppaneuvoksenkatu,2,Kauppaneuvoksenkatu,35800,Koskela,,,Mänttä-Vilppula,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1009418-6,1273968,SF-Caravan Keski-Pohjanmaan Kioski,Ahontie 3,69440,LESTIJÄRVI,Lestijärvi,SF-Caravan Keski-Pohjanmaa ry,01.03.2018,,63.56155674429916,24.692511674826093,"Ahontie 3, 69440 Lestijärvi, Suomi",Ahontie,3,Ahontie,69440,,,,Lestijärvi,Keski-Pohjanmaa,Suomi,fi,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2154418-9,1073802,Södra Altan WHA,Wiklöf Holding Arena,22100,MARIEHAMN,Maarianhamina - Mariehamn,IFK Mariehamn Ab,23.03.2022,,60.1039242,19.93362054765518,"Wiklöf Holding Arena, Idrottsgatan, 22100 Maarianhamina, Suomi",Wiklöf Holding Arena,,Idrottsgatan,22100,Vreten,Ahvenanmaa,Vreten,Maarianhamina,Ahvenanmaan maakunta,Suomi,fi,0.1388888888888889,1,0.2777777777777778,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3240170-6,1072608,Sysmän Matkabaari,Sysmäntie 51,19700,SYSMÄ,Sysmä,Matkabaari Oy,01.01.2022,,61.5024382,25.6852139,"Sysmäntie 51, 19700 Sysmä, Suomi",Sysmäntie,51,Sysmäntie,19700,,,,Sysmä,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0162170-6,1011158,Ravintola Rosso Imatrankoski,Koskenparras 1,55100,IMATRA,Imatra,Etelä-Karjalan Osuuskauppa,25.09.2000,,61.1707158,28.7718733,"Rosso Imatra, Koskenparras 1, 55100 Imatra, Suomi",Rosso Imatra,1,Koskenparras,55100,Imatrankoski,,Imatrankoski,Imatra,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3447274-3,30886936,Ravintola Damlatas,Kirkkotie 2,90830,HAUKIPUDAS,Oulu,Ravintola Damlatas Oy,01.04.2025,,65.1771643,25.3526853,"Ravintola Damlatas, Kirkkotie 2, 90830 Oulu, Suomi",Ravintola Damlatas,2,Kirkkotie,90830,,,,Oulu,Pohjois-Pohjanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0536307-0,30057150,Ravintola Puisto,"Koskipuisto, Hämeenkatu 14 a",33100,TAMPERE,Tampere,Pirkanmaan Osuuskauppa,11.11.2018,,61.498348,23.766035,"Hämeenkatu 14, 33100 Tampere, Suomi",,14,Hämeenkatu,33100,Kyttälä,Pirkanmaa,Tampere,Tampere,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3405710-1,30884832,Ravintola Nonla,Itäkatu 1-7,930,HELSINKI,Helsinki,HiLe Ravintolat Oy,03.06.2024,,60.21170635,25.082940003982113,"Kauppakeskus Itis, Itäkatu 1-7, 00930 Helsinki, Suomi",Kauppakeskus Itis,1-7,Itäkatu,00930,Itäkeskus,,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3434367-7,30885054,Santas Little Village / Hotel Uitonniemi,Uitonniementie 2,98100,KEMIJÄRVI,Kemijärvi,Santa's Little Village Oy,18.06.2024,,66.7186246,27.420827847596797,"Uitonniementie 2, 98100 Kemijärvi, Suomi",,2,Uitonniementie,98100,,,,Kemijärvi,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2953537-5,30063484,Wanha Kupittaa,Kauppias Hammarin katu 38,20700,TURKU,Turku,Kupittaan Kapakka Oy,02.01.2019,,60.4364169,22.2939355,"Wanha Kupittaa, Kauppias Hammarin katu 38, 20720 Turku, Suomi",Wanha Kupittaa,38,Kauppias Hammarin katu,20720,Vasaramäki,,Skanssi-Uittamo,Turku,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1567535-0,1012014,Faculty Club Biomedicum Helsinki,Hartmaninkatu 8,290,HELSINKI,Helsinki,HUS-yhtymä,20.04.2001,,60.159553149999994,24.882999643814742,"vanha puhelinkeskus, Kauppaneuvoksentie 8, 00200 Helsinki, Suomi",vanha puhelinkeskus,8,Kauppaneuvoksentie,00200,Lauttasaari,Uusimaa,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.2647058823529412,1,0.29411764705882354,0.29411764705882354,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2913769-2,1061447,Kyläkahvila Onni,Pyhtääntie 14,49270,PYHTÄÄ,Pyhtää,KyläKahvila Onni,13.06.2018,,60.4916602,26.5444456,"Kyläkahvila Onni, Pyhtääntie 14, 49270 Pyhtää, Suomi",Kyläkahvila Onni,14,Pyhtääntie,49270,,,,Pyhtää,Kymenlaakso,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2874017-4,1071998,Pizzeria Aalto,Parviaisentie 3A,40900,SÄYNÄTSALO,Jyväskylä,TehFin Oy,22.07.2021,,62.1385786,25.765802385480875,"Parviaisentie 3a, 40900 Jyväskylä, Suomi",,3a,Parviaisentie,40900,,,Säynätsalo,Jyväskylä,Keski-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3169305-7,1071963,Som Tam Enjoy Thai Food,Sammalkalliontie 6 C,2210,ESPOO,Espoo,Som Tam Enjoy Thai food,01.08.2021,,60.1757558,24.7349895,"Som Tam, Sammalkalliontie 6C, 02210 Espoo, Suomi",Som Tam,6C,Sammalkalliontie,02210,Olari,,Suur-Matinkylä,Espoo,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2425425-9,1058173,Ravintola Flyygeli,Sairaalakatu 7,1400,VANTAA,Vantaa,"Foibe Oy ",01.09.2017,,60.3325547,25.0616918,"Ravintola Flyygeli, Sairaalakatu 7, 01400 Vantaa, Suomi",Ravintola Flyygeli,7,Sairaalakatu,01400,Asola,,Koivukylän suuralue,Vantaa,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1252711-7,1053841,Vanaha Navetta,Huhmarintie 10,84100,YLIVIESKA,Ylivieska,Markku Päivärinta T:mi,01.06.2016,,64.01731,24.709431,"Huhmarintie 10, 84100 Ylivieska, Suomi",,10,Huhmarintie,84100,,Pohjois-Pohjanmaa,,Ylivieska,Pohjois-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
0511442-9,30062007,Harriniva Oy,Harrinivantie,99300,MUONIO,Muonio,Harriniva Oy,04.07.2018,,67.93230870497266,23.659203252791336,"Harrinivantie, 99301 Muonio, Suomi",Harrinivantie,,Harrinivantie,99301,,,,Muonio,Lappi,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1067445-5,1797596,m/s Koski,Matkustajasatama,70100,KUOPIO,Kuopio,Koski-Laiva Oy,11.07.1998,,62.8913783039886,27.684902863817662,"70100 Kuopio, Suomi",,,,70100,,,,Kuopio,Pohjois-Savo,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2112598-8,30888795,Dylan Raspberry,Itämerentori 2,180,HELSINKI,Helsinki,Toothpicks and Honey Oy,31.10.2025,,60.1640241,24.9138467,"Itämerentori 2, 00180 Helsinki, Suomi",,2,Itämerentori,00180,Ruoholahti,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2224112-0,1030499,Hotelli Koskenniska,Turuntie 1,30100,FORSSA,Forssa,Torento Oy,01.01.2009,,60.813941,23.6206601,"Hotelli Koskenniska, Turuntie 1, 30300 Forssa, Suomi",Hotelli Koskenniska,1,Turuntie,30300,Tölö,,Keskusta,Forssa,Kanta-Häme,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2093132-0,1025415,Stundars / Ravintola Hemmer,Stundarsintie 5,65450,SULVA,Mustasaari,Vaasa Ravintolat Oy,16.04.2007,,63.013629,21.6437635,"Stundarsintie 5, 65450 Sulva, Suomi",Stundarsintie,5,Stundarsintie,65450,Stundars,,,Sulva,Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1106504-5,1054063,Road Cafe Yttis,Ytterkullantie 1,25870,DRAGSFJÄRD,Kemiönsaari,Fire Ice And Aero FIAA Oy,01.03.2018,,60.0715442,22.473886,"Road cafe Yttis, Ytterkullantie 1, 25870 Dragsfjärd, Suomi",Road cafe Yttis,1,Ytterkullantie,25870,Kulla,,,Dragsfjärd,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3098089-8,1067282,Ullakko,"Eerikinkatu 8, 3 krs.",20100,TURKU,Turku,Eerikin Ullakko Oy,19.12.2019,,60.4516782,22.2699127,"Ullakko, Eerikinkatu 8, 20100 Turku, Suomi",Ullakko,8,Eerikinkatu,20100,Keskusta,,Aninkaistenmäki,Turku,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1896229-1,1033051,Teatteriravintola Ankkuri,Alfredinkatu 2,26100,RAUMA,Rauma,Fresco Ravintolat Oy,08.09.2009,,61.126723999999996,21.503629581896774,"Rauman teatteri, Alfredinkatu 2, 26100 Rauma, Suomi",Rauman teatteri,2,Alfredinkatu,26100,Tarvonsaari,,,Rauma,Satakunta,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3244830-1,1073553,El Diablito,Hovioikeudenpuistikko 19,65100,VAASA,Vaasa,Oy Restorm Ab,25.03.2022,,63.0970941,21.6175835,"Hovioikeudenpuistikko 19, 65100 Vaasa, Suomi",Hovioikeudenpuistikko,19,Hovioikeudenpuistikko,65100,Keskusta 4,,Vaasa,Vaasa,Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1771143-1,30042321,Olutsalonki Black Door,Iso Roobertinkatu 1,120,HELSINKI,Helsinki,Momentin Restaurants Oy,21.03.2018,,60.16418635,24.943688109595723,"Iso Roobertinkatu 1, 00120 Helsinki, Suomi",,1,Iso Roobertinkatu,00120,Punavuori,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2292036-9,30887800,Bon Marin,Konikarvontie 204,85180,RAHJA,Kalajoki,Blue Sea and Sky Oy,02.06.2025,,64.21266493182623,23.702802503524822,"Konikarvontie, 85180 Kalajoki, Suomi",Konikarvontie,,Konikarvontie,85180,,,,Kalajoki,Pohjois-Pohjanmaa,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2849611-6,1062148,Cafe & Bar Lemon,Kauppalantie 22,320,HELSINKI,Helsinki,MR-ravintolat Oy,01.08.2018,,60.2121492,24.8978735,"Kauppalantie 22, 00320 Helsinki, Suomi",,22,Kauppalantie,00320,Haaga,Uusimaa,Läntinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
